,C1,C4,C5,C6,T2,T5,C3_impute,C7_impute,C3`,C5`,C6`,T1prime,T3prime,T4prime,S1prime,S2prime,S3prime,Y1,Y2
83,124.0,0.02181132592841911,119906167.0,16000000.0,26820.0,1358.0,0.84,3841.264,0,7.4941354375,0.0,0.7489597780859917,0.8530201342281879,0.05063385533184191,0.00488441461595824,0.010328113348247576,0.010328113348247576,1,0
84,111.0,-0.002117746190072883,25905010.0,5000000.0,13821.0,772.0,-0.28,24.568,0,5.181002,0.030303030303030304,0.585278276481149,0.9061572968670863,0.05585702915852688,0.003907097894508357,0.0057159395123363,0.0057159395123363,0,1
85,198.0,0.009750672113699626,7277250.0,3000000.0,13061.0,774.0,-0.36,8.235,0,2.42575,0.0,0.6163793103448276,0.9181532807595131,0.059260393538013934,0.004211009876732256,0.009800168440395069,0.009800168440395069,1,0
87,91.0,-0.02372061747056409,15567370.0,4600000.0,8348.0,519.0,-0.77,4.517,0,3.3842108695652175,0.0,0.46335078534031415,0.9135122184954481,0.062170579779587926,0.005749880210828941,0.010541447053186392,0.010541447053186392,1,0
88,118.0,0.0645993451786608,16646002.0,5000000.0,11441.0,458.0,1.22,117.616,1,3.3292004,0.11764705882352941,0.7317784256559767,0.8403111616117472,0.0400314657809632,0.006030941351280483,0.008128660082160651,0.008128660082160651,0,1
89,100.0,0.02105232914807478,15405683.0,5000000.0,10627.0,477.0,1.8,198.834,1,3.0811366,0.0,0.6675461741424802,0.8934788745647878,0.04488566858003199,0.006963395125623412,0.009409993413004612,0.009409993413004612,1,0
90,213.0,0.051102896447133964,19067812.0,9500000.0,17968.0,890.0,-0.79,141.873,0,2.007138105263158,0.0,0.6439169139465876,0.8837377560106857,0.04953250222617987,0.0036731967943009797,0.012466607301869992,0.012466607301869992,1,0
91,114.0,0.07222780488186492,53139723.0,13500000.0,11805.0,620.0,0.5,218.29,0,3.936275777777778,0.0,0.625560538116592,0.9118170266836086,0.05252011859381618,0.002964845404489623,0.011181702668360865,0.011181702668360865,1,0
92,14.0,-0.017173041723842902,18460000.0,5100000.0,8624.0,376.0,-0.21,21.873,0,3.619607843137255,0.13333333333333333,0.5660919540229885,0.8835807050092764,0.04359925788497217,0.005333951762523191,0.008928571428571428,0.008928571428571428,0,1
93,93.0,0.0418707113204849,24717719.0,7500000.0,21926.0,1296.0,0.32,95.623,0,3.2956958666666667,0.0,0.6230677764565993,0.907963148773146,0.05910790841922831,0.0032381647359299463,0.008255039678920004,0.008255039678920004,1,0
94,83.0,-0.030411457792077785,21792260.0,5000000.0,4951.0,356.0,-83.95,0.367,0,4.358452,0.0,0.5023474178403756,0.9317309634417289,0.07190466572409614,0.00444354675823066,0.005857402544940416,0.005857402544940416,0,0
95,97.0,0.033593111500030436,5000258.0,2000000.0,6993.0,302.0,0.1,14.798,0,2.500129,0.05555555555555555,0.495114006514658,0.8677248677248677,0.04318604318604319,0.007007007007007007,0.006721006721006721,0.006721006721006721,0,1
96,182.0,0.03382320623002174,9484296.0,9484296.0,21326.0,889.0,-0.35,64.482,0,1.0,0.3333333333333333,0.7704280155642024,0.8240645221794992,0.04168620463284254,0.006517865516271218,0.00515802307043046,0.00515802307043046,0,1
97,71.0,-0.023035852320323243,7712116.0,3000000.0,6746.0,338.0,0.32,96.107,0,2.570705333333333,0.13333333333333333,0.5149501661129569,0.8483545804921435,0.05010376519418915,0.003112955825674474,0.011414171360806405,0.011414171360806405,0,1
98,88.0,-0.02372061747056409,18677672.0,6000000.0,10949.0,515.0,0.03,12.231,0,3.1129453333333332,0.09090909090909091,0.5394736842105263,0.9222760069412732,0.0470362590190885,0.002739976253539136,0.008402593844186684,0.008402593844186684,0,1
99,96.0,-0.013719046092875624,21585906.0,10039216.0,13118.0,738.0,0.26,918.513,0,2.1501585382762958,0.0,0.612,0.9048635462722976,0.056258576002439394,0.006098490623570666,0.011129745388016466,0.011129745388016466,1,0
100,94.0,0.030198862266011022,64771971.0,7812500.0,19188.0,1191.0,0.99,1392.423,0,8.290812288,0.25,0.6888888888888889,0.9102564102564102,0.06207004377736085,0.006253908692933083,0.007608922243068585,0.007608922243068585,0,1
101,139.0,0.025837184637571033,15822975.0,5500000.0,3670.0,211.0,-0.17,107.462,0,2.8769045454545457,0.0,0.5032258064516129,0.8967302452316076,0.057493188010899185,0.0027247956403269754,0.005449591280653951,0.005449591280653951,0,0
102,100.0,0.024348418198384663,28045540.0,6000000.0,6176.0,335.0,-0.27,107.462,0,4.6742566666666665,0.0,0.6301369863013698,0.9047927461139896,0.05424222797927461,0.005505181347150259,0.008905440414507772,0.008905440414507772,1,0
103,58.0,-0.013856032240963977,22488261.0,5000000.0,10936.0,697.0,-13.98,26.586,0,4.4976522,0.07692307692307693,0.6731234866828087,0.8966715435259692,0.06373445501097294,0.003566203365032919,0.008412582297000731,0.008412582297000731,0,1
104,140.0,0.015247641034643978,18905040.0,4000000.0,7924.0,467.0,0.29,22.488,0,4.72626,0.0,0.6072607260726073,0.8975265017667845,0.05893488137304392,0.007950530035335688,0.009843513377082282,0.009843513377082282,0,0
105,124.0,0.053363823247533915,36297532.0,6328932.0,15241.0,720.0,-0.62,232.947,0,5.735174907867552,0.08333333333333333,0.6524953789279113,0.9179843842267568,0.047240994685388095,0.004396037005445837,0.01102289875992389,0.01102289875992389,0,1
106,98.0,-0.010094639243490348,17108920.0,5800000.0,18547.0,586.0,0.56,107.462,0,2.9498137931034485,0.0,0.6166902404526167,0.8840782875936809,0.031595406265164175,0.005445624629320106,0.008626732086051652,0.008626732086051652,0,0
107,91.0,-0.1623519476777104,24000105.0,6250000.0,13094.0,649.0,-1.07,38.563,0,3.8400168,0.0,0.7197943444730077,0.8341224988544371,0.04956468611577822,0.00435313884221781,0.007560714831220406,0.007560714831220406,1,0
108,95.0,0.05537992930521834,38566207.0,12000000.0,23527.0,1431.0,-0.46,293.605,0,3.2138505833333335,0.0,0.7111111111111111,0.9053853019934544,0.06082373443277936,0.005100522803587367,0.008585880052705403,0.008585880052705403,1,0
109,170.0,0.041111496865316996,25583179.0,6132353.0,18177.0,878.0,-0.46,113.311,0,4.171837302908036,0.0,0.6092814371257484,0.901358860097926,0.048302800242064146,0.005391428728613082,0.01650437365901964,0.01650437365901964,1,0
110,72.0,-0.02469393686831301,19262086.0,5358000.0,10224.0,627.0,-0.11,160.871,0,3.5950141843971632,0.0,0.605,0.8543622848200313,0.061326291079812204,0.003129890453834116,0.008900625978090767,0.008900625978090767,0,0
